Unnamed: 0,content,score,appVersion,content_process,result,sentiment,proba,inferred_topic,inferred_probability
27,"Bank tertolol yang pernah saya buka selama saya hidup, VC susah 2 minggu baru jadi rekening online, pas udah jadi masuk ke apk sialan ini, pasword bener bilang salah terus, rek baru jadi ID terblokir, biadab kalian, suruh tlv premium call, pulsa 10 ribu habis pake milih menu doang belum berbicara sama CS, makanya gw nobatkan bang ter tolol sejagad, bank kecil banyak tingkah dan gaya, idiot nya murni semenjak bank berdiri, satu kalimat buat kalian SEGERA BANGKRUT AJA BIAR GA BANYAK NYUSAHIN",1,1.4.1,bank tolol buka hidup vc susah minggu rekening online pas udah masuk apk sial pasword bener bilang salah rek id blokir biadab suruh tlv premium call pulsa ribu habis pake milih menu doang bicara cs gw nobat bang ter tolol sejagad bank tingkah gaya idiot nya murni semenjak bank diri kalimat bangkrut aja biar ga nyusahin,"[{'label': 'negative', 'score': 0.9993669390678406}]",negative,0.9993669390678406,Opinion on Banking App,0.4867944
28,Jelek banget setiap masuk selalu ga bisa,1,,jelek banget masuk ga,"[{'label': 'negative', 'score': 0.9989868998527527}]",negative,0.9989868998527528,Questions and Engagement,0.83738524
29,top markotop,5,1.4.1,top markotop,"[{'label': 'positive', 'score': 0.9933290481567383}]",positive,0.9933290481567384,Questions and Engagement,0.733126
30,"Ribet, keblokir harus kekantor cabang, email lengkap nomer hp ada, terlalu ribet",1,1.4.1,ribet blokir kantor cabang email lengkap nomer hp ribet,"[{'label': 'negative', 'score': 0.985956072807312}]",negative,0.985956072807312,App Features,0.9193927
31,Mohon maaf terbaksa saya katakan kasih kalah jauh dari bank lain. Mikir 7x mungkin klo mau kerjasama. Karena sering update dan eror 🤦‍♂️,3,1.4.1,mohon maaf terbaksa kasih kalah bank mikir klo kerjasama update eror,"[{'label': 'negative', 'score': 0.9983735084533691}]",negative,0.9983735084533693,Questions and Engagement,0.32628173
32,Susah kali pakai d bank ini..bolak balek transaksi gagal mulu😪😪 kendala teknis hampir tiap hari!!!!,2,,susah kali pakai bank bolak balek transaksi gagal mulu kendala teknis,"[{'label': 'negative', 'score': 0.9980441331863403}]",negative,0.9980441331863404,User Experience,0.66913444
33,Mempermudah saya untuk transaksi apapun ... 👌👌👌👍👍👍 terima kasih D-Bank PRO ...,5,1.4.1,mudah transaksi apa terima kasih bank pro,"[{'label': 'neutral', 'score': 0.8444969058036804}]",neutral,0.8444969058036804,Opinion on Banking App,0.89760655
34,gk dapat cashback ternyata...sia² 1bulan uang 3.5jt disimpan🙃,1,,gk cashback sia uang jt simpan,"[{'label': 'negative', 'score': 0.995335042476654}]",negative,0.995335042476654,App Features,0.41879493
35,Keren D- bank pro,5,1.4.1,keren bank pro,"[{'label': 'positive', 'score': 0.9926907420158386}]",positive,0.9926907420158386,Questions and Engagement,0.5211696
36,"Aku sudah lama menjadi nasabah Bank Danamon, suka banget aman dan mudah, pelayanan juga the best . Terima kasih ya 😊🙏",5,1.4.1,nasabah bank danamon suka banget aman mudah layan the best terima kasih ya,"[{'label': 'positive', 'score': 0.9992558360099792}]",positive,0.9992558360099792,Opinion on Banking App,0.8815138
37,"Tolong update kemanan lebih diperketat. Terutama login biometrik. Jika ingin login, selain memasukkan password, harus juga menggunakan biometrik agar keamanan lebih ketat jika ada peretas yang ingin membobol akun nasabah.",4,1.4.1,tolong update keman ketat login biometrik login masuk password biometrik aman ketat retas bobol akun nasabah,"[{'label': 'neutral', 'score': 0.9873968958854675}]",neutral,0.9873968958854676,Opinion on Banking App,0.91814446
38,Top,5,1.4.0,top,"[{'label': 'positive', 'score': 0.9786689281463623}]",positive,0.9786689281463624,Questions and Engagement,0.59943926
39,Good... thanks,5,1.4.1,good thanks,"[{'label': 'positive', 'score': 0.9973316192626953}]",positive,0.9973316192626952,App Features,0.40066874
40,Kenapa setelah update untuk aktivasi SMS gagal terus data semua masih sama,1,1.4.1,update aktivasi sms gagal data,"[{'label': 'negative', 'score': 0.8992499113082886}]",negative,0.8992499113082886,Mixed Feedback and Technical Issues,0.8651431
41,"Susah banget dapet SMS verifikasi nya,udah dicoba berkali kali tetep aja ngga dapet SMS nya",1,,susah banget dapet sms verifikasi nya udah coba kali kali tetep aja ngga dapet sms nya,"[{'label': 'negative', 'score': 0.9989494681358337}]",negative,0.9989494681358336,Mixed Feedback and Technical Issues,0.50670904
42,"Trimakasih,,,",5,1.3.9,trimakasih,"[{'label': 'positive', 'score': 0.9988503456115723}]",positive,0.9988503456115724,Opinion on Banking App,0.5998314
43,"Sudah verifikasi SMS ttep ga masuk kemobile banking nya, udh 2 kali loh pdhal, syang banget pulsanya",2,1.4.1,verifikasi sms ttep ga masuk kemobile banking nya udh kali loh pdhal syang banget pulsa,"[{'label': 'neutral', 'score': 0.7696471810340881}]",neutral,0.7696471810340881,Questions and Engagement,0.6138355
44,Gk jelas! Ujung _ ujung di suruh kecabang juga di tawarin asuransi kapok pake Danamon tutup ajalah mending make mandiri/ BCA,1,,gk ujung ujung suruh cabang tawarin asuransi kapok pake danamon tutup aja mending make mandiri bca,"[{'label': 'negative', 'score': 0.996944010257721}]",negative,0.996944010257721,Mixed Feedback and Technical Issues,0.79729646
45,Sip rusak......,5,1.4.1,sip rusak,"[{'label': 'negative', 'score': 0.9991744160652161}]",negative,0.999174416065216,User Experience,0.4802274
46,Lagi urgent aplikasi malah forceclose padahal baru update,1,1.4.1,urgent aplikasi forceclose update,"[{'label': 'negative', 'score': 0.9989007711410522}]",negative,0.9989007711410522,App Features,0.5263707
47,kenapa saya tidak bisa masuk ke aplikasinya,1,1.4.1,masuk aplikasi,"[{'label': 'neutral', 'score': 0.9246928095817566}]",neutral,0.9246928095817566,Questions and Engagement,0.5926333
48,Oke,5,,oke,"[{'label': 'positive', 'score': 0.7234290838241577}]",positive,0.7234290838241577,Mixed Feedback and Technical Issues,0.5999679
49,Gak bisa buat transfer,4,,gak transfer,"[{'label': 'neutral', 'score': 0.7929899096488953}]",neutral,0.7929899096488953,User Experience,0.72389466
50,"Aplikasi ini sudah ok, namun belum ada fasilitas untuk pembayaran pajak penerimaan negara",4,1.4.1,aplikasi ok fasilitas bayar pajak terima negara,"[{'label': 'neutral', 'score': 0.9974599480628967}]",neutral,0.9974599480628968,Opinion on Banking App,0.63226396
51,Error mulu nih aplikasi,1,1.4.1,error mulu nih aplikasi,"[{'label': 'negative', 'score': 0.9993957281112671}]",negative,0.9993957281112672,Mixed Feedback and Technical Issues,0.7985403
52,Lemot,1,1.4.1,lot,"[{'label': 'negative', 'score': 0.9974468946456909}]",negative,0.9974468946456908,Mixed Feedback and Technical Issues,0.5986902
53,Kenapa D Bank Saya Maintance? Padahal Saya Sudah Update Ke Versi Terbaru,1,1.4.1,bank maintance update versi baru,"[{'label': 'neutral', 'score': 0.559742271900177}]",neutral,0.559742271900177,Mixed Feedback and Technical Issues,0.86442786
54,"Jelek, mau cek saldo aja undermaitenance mulu",1,1.4.1,jelek cek saldo aja undermaitenance mulu,"[{'label': 'negative', 'score': 0.9994358420372009}]",negative,0.9994358420372008,Mixed Feedback and Technical Issues,0.8636534
55,Susah di gunakan lodingnya lama,3,1.4.1,susah lodingnya,"[{'label': 'negative', 'score': 0.999271810054779}]",negative,0.999271810054779,Mixed Feedback and Technical Issues,0.7255516
56,Di update malah menu tfnya gk bisa,1,1.4.1,update menu tfnya gk,"[{'label': 'negative', 'score': 0.957984209060669}]",negative,0.957984209060669,App Features,0.7924973
57,"Keren bgt, Tolong dong jaringan nya di perbaiki",5,1.4.1,keren bgt tolong jaring nya baik,"[{'label': 'positive', 'score': 0.9680213928222656}]",positive,0.9680213928222656,App Features,0.5495258
58,Lemoot,1,1.4.1,lemoot,"[{'label': 'negative', 'score': 0.9900051951408386}]",negative,0.9900051951408386,User Experience,0.2
59,"Aplikasi kurang bagus, mau verifikasi sms aja, harus pakai Pulsa. Gimana kalo tekendala tidak ada Pulsa. Tidak bisa login dong",2,,aplikasi bagus verifikasi sms aja pakai pulsa gimana kalo tekendala pulsa login,"[{'label': 'negative', 'score': 0.9966136813163757}]",negative,0.9966136813163756,Mixed Feedback and Technical Issues,0.8154353
60,"Banyak manfaat, mudah di gunakan dan bagus sekali.",5,1.4.1,manfaat mudah bagus,"[{'label': 'positive', 'score': 0.9991758465766907}]",positive,0.9991758465766908,User Experience,0.79860336
61,Bagus pelayanan nya👍👍,5,1.4.0,bagus layan nya,"[{'label': 'positive', 'score': 0.9982271790504456}]",positive,0.9982271790504456,User Experience,0.7971934
62,Mau tanya ini dbank sy kok Ndak bs dibuka muncul Ket sdh di djailbreak ya,4,1.4.1,dbank sy ndak bs buka muncul ket sdh djailbreak ya,"[{'label': 'neutral', 'score': 0.9961905479431152}]",neutral,0.9961905479431152,Questions and Engagement,0.90752083
63,Aku dowlond lagi kok susah ya,2,,dowlond susah ya,"[{'label': 'negative', 'score': 0.998740017414093}]",negative,0.998740017414093,Questions and Engagement,0.73021376
64,Bagus,5,1.4.1,bagus,"[{'label': 'positive', 'score': 0.9980973601341248}]",positive,0.9980973601341248,User Experience,0.59957653
65,OTP di email sudah benar tp kenapa balik lagi isi lg dengan otp yg sama malah gagal .. crash gtu apk nya .. bintang 1 dlu biar dibaca,1,1.4.1,otp email tp isi lg otp yg gagal crash gtu apk nya bintang dlu biar baca,"[{'label': 'negative', 'score': 0.995887815952301}]",negative,0.995887815952301,Questions and Engagement,0.57321936
66,"verif no hp gagal terus,no hp sudah bener,telp cs sampai pulsa habis...gak banget",1,1.4.1,verif no hp gagal no hp bener telp cs pulsa habis gak banget,"[{'label': 'negative', 'score': 0.9387912750244141}]",negative,0.938791275024414,App Features,0.7350481
67,Mantulll,5,,mantulll,"[{'label': 'negative', 'score': 0.9964389801025391}]",negative,0.9964389801025392,User Experience,0.2
68,"Mau ganti PW login ribet, lewat email link ga masuk, lewat CS ribet menunya muter"" ga jelas. Katanya praktis dan mudah, kenyataannya berbanding terbalik.",1,1.4.0,ganti pw login ribet email link ga masuk cs ribet menu muter ga praktis mudah nyata banding balik,"[{'label': 'negative', 'score': 0.9984523057937622}]",negative,0.9984523057937622,App Features,0.8321913
69,Kenapa ada masalah pada rekening saya padahal saya gak ngapa2in,1,1.4.1,rekening gak ngapa in,"[{'label': 'negative', 'score': 0.9906384944915771}]",negative,0.9906384944915771,Opinion on Banking App,0.46406567
70,Lupa password . Pas di koneksikan ke email saya untuk perubahan pasword tidak ada masuk email,3,,lupa password pas koneksi email ubah pasword masuk email,"[{'label': 'neutral', 'score': 0.998988687992096}]",neutral,0.998988687992096,User Experience,0.39486304
71,Memudahkan untuk bertransaksi,5,1.4.1,mudah transaksi,"[{'label': 'positive', 'score': 0.9978219270706177}]",positive,0.9978219270706176,Opinion on Banking App,0.72953403
72,Nice,5,1.4.0,nice,"[{'label': 'positive', 'score': 0.9934777021408081}]",positive,0.993477702140808,Questions and Engagement,0.59998876
73,Min mohon hapus data pribadi saya karena saya ditolak diapk pinjol ini,1,,min mohon hapus data pribadi tolak diapk pinjol,"[{'label': 'neutral', 'score': 0.9881595373153687}]",neutral,0.9881595373153688,Questions and Engagement,0.6436405
74,"Fitur Layanan Bagus Dan Profesional,Mudah Dalam Bertransaksi""Pertahankan Dan Tingkatkan.",5,1.4.1,fitur layan bagus profesional mudah transaksi tahan tingkat,"[{'label': 'positive', 'score': 0.9983944296836853}]",positive,0.9983944296836852,User Experience,0.66672575
75,Mantap aplikasinya,5,1.4.1,mantap aplikasi,"[{'label': 'positive', 'score': 0.9993389248847961}]",positive,0.999338924884796,Opinion on Banking App,0.59993684
76,"Terimakasih dbank pro,,aplikasi nya sangat bagus dan mudah untuk dioperasikan nya. Tampilanya sangat bagus dan menarik mudah digunakan nya.",5,1.4.1,terimakasih dbank pro aplikasi nya bagus mudah operasi nya tampilanya bagus tarik mudah nya,"[{'label': 'positive', 'score': 0.9991998076438904}]",positive,0.9991998076438904,Opinion on Banking App,0.3995145
77,Aplikasi D-Bank Pro sdh ok tp masih ada yg kurang yaitu tdk terkoneksi dgn obligasi yg nasabah pny. Jd kita tdk bisa melihat brp jumlah obligasi sperti deposito. Tlng kalo bisa dikoneksikan biar lebih lengkap. Tks,4,1.4.1,aplikasi bank pro sdh ok tp yg tdk koneksi dgn obligasi yg nasabah pny jd tdk brp obligasi sperti deposito tlng kalo koneksi biar lengkap tks,"[{'label': 'neutral', 'score': 0.9832296967506409}]",neutral,0.9832296967506408,Questions and Engagement,0.6726396
78,Mantap parah,5,1.4.1,mantap parah,"[{'label': 'positive', 'score': 0.7254791855812073}]",positive,0.7254791855812073,Opinion on Banking App,0.72170496
79,Registrasi mobile memerlukan pulsa untuk aktivasi,4,1.4.1,registrasi mobile pulsa aktivasi,"[{'label': 'neutral', 'score': 0.9989460110664368}]",neutral,0.9989460110664368,Opinion on Banking App,0.5431214
80,Aplikasi mudah digunakan,5,1.4.0,aplikasi mudah,"[{'label': 'positive', 'score': 0.9982889294624329}]",positive,0.9982889294624328,Opinion on Banking App,0.59619385
81,Maaf ka saya Masih belum ngerti tata cara biar Login akun D bank pro ini ka.. kartu atm DANAMON udah punya. Untuk Login di apk D-Bank PRO nya susah ka.. ga tau wktu mau Login salah masukin Emailnya atou paswordnya Lupa .,3,1.4.0,maaf ka ngerti tata biar login akun bank pro ka kartu atm danamon udah login apk bank pro nya susah ka ga tau wktu login salah masukin email atou paswordnya lupa,"[{'label': 'neutral', 'score': 0.5536194443702698}]",neutral,0.5536194443702698,Opinion on Banking App,0.80588967
82,Katanya dapet saldo gratis dengan nominal 50 ribu tapi nyatanya gak dapet,1,1.4.1,dapet saldo gratis nominal ribu gak dapet,"[{'label': 'neutral', 'score': 0.7260878682136536}]",neutral,0.7260878682136536,User Experience,0.47018382
83,Mf aplikasi di perbaru selalu erro g bisa dibuka lg knpa y,3,1.4.1,mf aplikasi baru erro buka lg knpa,"[{'label': 'neutral', 'score': 0.7495707273483276}]",neutral,0.7495707273483276,App Features,0.83595604
84,Ko tidak bisa instal aplikasi danamon ya,1,,ko instal aplikasi danamon ya,"[{'label': 'neutral', 'score': 0.9980454444885254}]",neutral,0.9980454444885254,User Experience,0.45378223
85,Tolong dong kok inih gak bisa transfer sama Nerima transfer yah apa sedang gangguan atau eror..TPI sebelumnya bisa bisa ajah dan normal..baru sekarang mengalami masalah transferan gagal dan Nerima transfer GK masuk..tolong dong benerin,3,1.4.0,tolong inih gak transfer nerima transfer yah ganggu eror tpi ajah normal alami transfer gagal nerima transfer gk masuk tolong benerin,"[{'label': 'negative', 'score': 0.9795100092887878}]",negative,0.9795100092887878,User Experience,0.49817243
86,Sush untuk login nya malah hbis plsa aja kirim SMS berkali kali,1,1.4.0,sush login nya hbis plsa aja kirim sms kali kali,"[{'label': 'negative', 'score': 0.9915502071380615}]",negative,0.9915502071380616,Questions and Engagement,0.5096127
87,Semenjak pake danamon ultimate prioritas tranfer ke mana aja gratiss tampa potongan dan tampa batas Ga kaya bank lain Trimaksih danamon,5,1.4.0,semenjak pake danamon ultimate prioritas tranfer aja gratiss tampa potong tampa batas ga kaya bank trimaksih danamon,"[{'label': 'positive', 'score': 0.9945677518844604}]",positive,0.9945677518844604,User Experience,0.7150427
88,Aplikasi ini sanagat membantu,5,,aplikasi sanagat bantu,"[{'label': 'positive', 'score': 0.998217761516571}]",positive,0.998217761516571,User Experience,0.59962106
89,Aplikasi bagus apalagi transfer valas,5,1.3.9,aplikasi bagus transfer valas,"[{'label': 'positive', 'score': 0.9974602460861206}]",positive,0.9974602460861206,User Experience,0.52119684
90,Sangat memuaskan aplikasi sangat mudah d pahami dan mempermudah transaksi,5,1.4.0,muas aplikasi mudah paham mudah transaksi,"[{'label': 'positive', 'score': 0.9990277290344238}]",positive,0.9990277290344238,Opinion on Banking App,0.45482478
91,D bank pro top markotop dah ...layanan bagus...tingkatkan trus bro,5,1.4.0,bank pro top markotop dah layan bagus tingkat trus bro,"[{'label': 'positive', 'score': 0.9965772032737732}]",positive,0.9965772032737732,Questions and Engagement,0.641733
92,"Bagus banget, mudah di lakukan , selalu lancar, banyak keuntungan nya, pokok nya keren banget",5,1.4.0,bagus banget mudah laku lancar untung nya pokok nya keren banget,"[{'label': 'positive', 'score': 0.9989596605300903}]",positive,0.9989596605300904,User Experience,0.61622375
93,D Bank Pro keren...mempermudah membantu transaksi secara cepat,5,1.3.9,bank pro keren mudah bantu transaksi cepat,"[{'label': 'positive', 'score': 0.996716320514679}]",positive,0.996716320514679,User Experience,0.4414734
94,transaksi yg sangat simpel dan mudah,5,1.4.0,transaksi yg simpel mudah,"[{'label': 'positive', 'score': 0.9846873879432678}]",positive,0.9846873879432678,Opinion on Banking App,0.8374666
95,Ok,5,1.4.0,ok,"[{'label': 'negative', 'score': 0.998392641544342}]",negative,0.998392641544342,App Features,0.5999488
96,Aplikasi keren semuanya ada bayar apa aja jd gampang,5,1.4.0,aplikasi keren bayar aja jd gampang,"[{'label': 'positive', 'score': 0.9985730648040771}]",positive,0.9985730648040771,Questions and Engagement,0.8643844
97,Lebih melancarkan transaksi,5,1.4.0,lancar transaksi,"[{'label': 'positive', 'score': 0.9981885552406311}]",positive,0.9981885552406312,User Experience,0.7309277
98,Mohon ditambahkan kembali fitur top up flazz juga,5,1.4.0,mohon fitur top up flazz,"[{'label': 'neutral', 'score': 0.9975836277008057}]",neutral,0.9975836277008056,Questions and Engagement,0.83676195
99,Dbank pro bisa melayani semua kebutuhan nasabah,5,1.4.0,dbank pro layan butuh nasabah,"[{'label': 'positive', 'score': 0.9832183718681335}]",positive,0.9832183718681335,Questions and Engagement,0.86299425
100,Sukses selalu,5,1.3.9,sukses,"[{'label': 'positive', 'score': 0.9991117119789124}]",positive,0.9991117119789124,Questions and Engagement,0.59861237
101,"Gila keren banget bisa top up emoney mandiri, top up ovo ga ada biaya, valas live dan harga oke banget kalah bank sebelah. Udah gitu bisa buka DL Pro 1 rekening 9 mata uang. Apa lagi ya... Banyak banget, ga pernah kenak hack, sekian detik ga transaksi auto log out jd aman. Worth it",5,1.4.0,gila keren banget top up emoney mandiri top up ovo ga biaya valas live harga oke banget kalah bank belah udah gitu buka dl pro rekening mata uang ya banget ga nak hack sekian detik ga transaksi auto log out jd aman worth it,"[{'label': 'positive', 'score': 0.99849534034729}]",positive,0.99849534034729,Mixed Feedback and Technical Issues,0.5112844
102,Memudahkan transaksi,5,,mudah transaksi,"[{'label': 'positive', 'score': 0.9992165565490723}]",positive,0.9992165565490724,Opinion on Banking App,0.72949445
103,Mantap jaya,5,1.4.0,mantap jaya,"[{'label': 'positive', 'score': 0.9993425011634827}]",positive,0.9993425011634828,Opinion on Banking App,0.7332851
104,"Sangat membantu transaksi dg cepat, fiturnya lengkap bs buka rekening, cek saldo, trf, cek penggunaan CC, merubah trx CC menjadi installment.",5,1.4.0,bantu transaksi dg cepat fiturnya lengkap bs buka rekening cek saldo trf cek guna cc rubah trx cc installment,"[{'label': 'neutral', 'score': 0.9806695580482483}]",neutral,0.9806695580482484,Opinion on Banking App,0.6520253
105,Transaksi lebih mudah,5,1.4.0,transaksi mudah,"[{'label': 'positive', 'score': 0.9963485598564148}]",positive,0.9963485598564148,Opinion on Banking App,0.7295441
106,Danamon Bisa semakin jaya....,5,1.4.0,danamon jaya,"[{'label': 'positive', 'score': 0.9192277789115906}]",positive,0.9192277789115906,Opinion on Banking App,0.7297328
107,Harus instal aplikasi ini...mempermudah segala jenis transaksi..,5,1.4.0,instal aplikasi mudah jenis transaksi,"[{'label': 'neutral', 'score': 0.7885761260986328}]",neutral,0.7885761260986328,User Experience,0.83831346
108,Jaringan ok banget gak pake lemot.. mantap lah,5,1.4.0,jaring ok banget gak pake lot mantap,"[{'label': 'positive', 'score': 0.9991267323493958}]",positive,0.9991267323493958,App Features,0.41815287
109,The best product ....,5,1.4.0,the best product,"[{'label': 'positive', 'score': 0.9981696605682373}]",positive,0.9981696605682372,Opinion on Banking App,0.73246914
110,Layanan aplikasi terbaik,5,1.4.0,layan aplikasi baik,"[{'label': 'positive', 'score': 0.9990420937538147}]",positive,0.9990420937538148,Opinion on Banking App,0.52554333
111,Danamon sangat membantu transaksi nasabah,5,1.4.0,danamon bantu transaksi nasabah,"[{'label': 'positive', 'score': 0.9990635514259338}]",positive,0.9990635514259338,User Experience,0.83795345
112,D banl pro kerren,5,1.4.0,banl pro kerren,"[{'label': 'neutral', 'score': 0.9912319779396057}]",neutral,0.9912319779396056,Opinion on Banking App,0.5976658
113,Aplikasi ini sangat membantu,5,,aplikasi bantu,"[{'label': 'positive', 'score': 0.9977167844772339}]",positive,0.997716784477234,User Experience,0.5996172
